1,2,63,37,5/2/2022 11:35:10 AM
2,5,99,63,5/2/2022 11:35:10 AM
3,3,79,23,5/2/2022 11:35:10 AM
4,5,3,30,5/2/2022 11:35:10 AM
5,5,55,52,5/2/2022 11:35:10 AM
6,3,17,52,5/2/2022 11:35:10 AM
7,1,82,89,5/2/2022 11:35:10 AM
8,5,82,48,5/2/2022 11:35:10 AM
9,1,28,48,5/2/2022 11:35:10 AM
10,2,76,2,5/2/2022 11:35:10 AM
11,4,23,8,5/2/2022 11:35:10 AM
12,5,72,13,5/2/2022 11:35:10 AM
13,3,92,79,5/2/2022 11:35:10 AM
14,2,76,21,5/2/2022 11:35:10 AM
15,5,70,75,5/2/2022 11:35:10 AM
16,2,80,9,5/2/2022 11:35:10 AM
17,1,79,71,5/2/2022 11:35:10 AM
18,2,69,28,5/2/2022 11:35:10 AM
19,5,56,24,5/2/2022 11:35:10 AM
20,5,16,65,5/2/2022 11:35:10 AM
21,3,24,15,5/2/2022 11:35:10 AM
22,1,47,51,5/2/2022 11:35:10 AM
23,4,58,77,5/2/2022 11:35:10 AM
24,4,99,75,5/2/2022 11:35:10 AM
25,3,95,7,5/2/2022 11:35:10 AM
26,3,21,44,5/2/2022 11:35:10 AM
27,2,54,42,5/2/2022 11:35:10 AM
28,5,3,22,5/2/2022 11:35:10 AM
29,4,87,32,5/2/2022 11:35:10 AM
30,2,41,96,5/2/2022 11:35:10 AM
31,1,19,37,5/2/2022 11:35:10 AM
32,3,72,76,5/2/2022 11:35:10 AM
33,1,56,32,5/2/2022 11:35:10 AM
34,1,1,52,5/2/2022 11:35:10 AM
35,4,70,17,5/2/2022 11:35:10 AM
36,3,49,49,5/2/2022 11:35:10 AM
37,2,19,75,5/2/2022 11:35:10 AM
38,4,55,38,5/2/2022 11:35:10 AM
39,1,58,47,5/2/2022 11:35:10 AM
40,5,95,36,5/2/2022 11:35:10 AM
41,1,6,24,5/2/2022 11:35:10 AM
42,4,7,1,5/2/2022 11:35:10 AM
43,3,72,26,5/2/2022 11:35:10 AM
44,5,78,7,5/2/2022 11:35:10 AM
45,5,46,51,5/2/2022 11:35:10 AM
46,2,88,51,5/2/2022 11:35:10 AM
47,4,62,82,5/2/2022 11:35:10 AM
48,3,18,56,5/2/2022 11:35:10 AM
49,1,2,99,5/2/2022 11:35:10 AM
50,3,89,68,5/2/2022 11:35:10 AM
51,1,31,53,5/2/2022 11:35:10 AM
52,3,17,14,5/2/2022 11:35:10 AM
53,2,29,8,5/2/2022 11:35:10 AM
54,4,30,80,5/2/2022 11:35:10 AM
55,5,8,84,5/2/2022 11:35:10 AM
56,3,17,31,5/2/2022 11:35:10 AM
57,5,33,45,5/2/2022 11:35:10 AM
58,4,54,99,5/2/2022 11:35:10 AM
59,3,73,7,5/2/2022 11:35:10 AM
60,1,36,63,5/2/2022 11:35:10 AM
61,5,7,64,5/2/2022 11:35:10 AM
62,1,43,37,5/2/2022 11:35:10 AM
63,4,20,52,5/2/2022 11:35:10 AM
64,5,71,8,5/2/2022 11:35:10 AM
65,5,65,27,5/2/2022 11:35:10 AM
66,5,56,92,5/2/2022 11:35:10 AM
67,1,66,47,5/2/2022 11:35:10 AM
68,5,53,22,5/2/2022 11:35:10 AM
69,1,20,28,5/2/2022 11:35:10 AM
70,4,66,36,5/2/2022 11:35:10 AM
71,1,28,90,5/2/2022 11:35:10 AM
72,1,69,43,5/2/2022 11:35:10 AM
73,2,85,30,5/2/2022 11:35:10 AM
74,1,88,32,5/2/2022 11:35:10 AM
75,1,40,38,5/2/2022 11:35:10 AM
76,3,12,72,5/2/2022 11:35:10 AM
77,3,31,63,5/2/2022 11:35:10 AM
78,3,14,86,5/2/2022 11:35:10 AM
79,5,73,1,5/2/2022 11:35:10 AM
80,1,26,56,5/2/2022 11:35:10 AM
81,5,24,61,5/2/2022 11:35:10 AM
82,1,14,22,5/2/2022 11:35:10 AM
83,4,46,97,5/2/2022 11:35:10 AM
84,3,86,97,5/2/2022 11:35:10 AM
85,2,4,78,5/2/2022 11:35:10 AM
86,1,36,88,5/2/2022 11:35:10 AM
87,2,2,55,5/2/2022 11:35:10 AM
88,3,67,95,5/2/2022 11:35:10 AM
89,2,60,61,5/2/2022 11:35:10 AM
90,3,52,31,5/2/2022 11:35:10 AM
91,3,11,25,5/2/2022 11:35:10 AM
92,1,91,16,5/2/2022 11:35:10 AM
93,4,92,57,5/2/2022 11:35:10 AM
94,5,91,43,5/2/2022 11:35:10 AM
95,5,20,100,5/2/2022 11:35:10 AM
96,4,24,60,5/2/2022 11:35:10 AM
97,4,63,63,5/2/2022 11:35:10 AM
98,1,84,24,5/2/2022 11:35:10 AM
99,5,60,34,5/2/2022 11:35:10 AM
100,3,86,15,5/2/2022 11:35:10 AM
101,5,67,58,5/2/2022 11:35:10 AM
102,4,12,7,5/2/2022 11:35:10 AM
103,3,5,42,5/2/2022 11:35:10 AM
104,5,58,80,5/2/2022 11:35:10 AM
105,3,36,86,5/2/2022 11:35:10 AM
106,4,4,64,5/2/2022 11:35:10 AM
107,5,76,95,5/2/2022 11:35:10 AM
108,4,87,97,5/2/2022 11:35:10 AM
109,3,21,28,5/2/2022 11:35:10 AM
110,3,47,78,5/2/2022 11:35:10 AM
111,4,8,69,5/2/2022 11:35:10 AM
112,1,56,11,5/2/2022 11:35:10 AM
113,4,67,3,5/2/2022 11:35:10 AM
114,2,10,72,5/2/2022 11:35:10 AM
115,5,24,5,5/2/2022 11:35:10 AM
116,5,59,95,5/2/2022 11:35:10 AM
117,2,5,20,5/2/2022 11:35:10 AM
118,2,61,28,5/2/2022 11:35:10 AM
119,2,86,39,5/2/2022 11:35:10 AM
120,5,85,63,5/2/2022 11:35:10 AM
121,3,38,42,5/2/2022 11:35:10 AM
122,1,88,76,5/2/2022 11:35:10 AM
123,4,88,37,5/2/2022 11:35:10 AM
124,3,9,10,5/2/2022 11:35:10 AM
125,2,21,84,5/2/2022 11:35:10 AM
126,2,66,33,5/2/2022 11:35:10 AM
127,3,51,70,5/2/2022 11:35:10 AM
128,2,90,36,5/2/2022 11:35:10 AM
129,5,47,51,5/2/2022 11:35:10 AM
130,3,99,35,5/2/2022 11:35:10 AM
131,3,33,99,5/2/2022 11:35:10 AM
132,5,90,75,5/2/2022 11:35:10 AM
133,1,66,88,5/2/2022 11:35:10 AM
134,3,2,49,5/2/2022 11:35:10 AM
135,3,20,85,5/2/2022 11:35:10 AM
136,3,37,96,5/2/2022 11:35:10 AM
137,4,80,10,5/2/2022 11:35:10 AM
138,4,88,42,5/2/2022 11:35:10 AM
139,1,8,91,5/2/2022 11:35:10 AM
140,3,92,46,5/2/2022 11:35:10 AM
141,4,88,1,5/2/2022 11:35:10 AM
142,2,30,53,5/2/2022 11:35:10 AM
143,3,50,30,5/2/2022 11:35:10 AM
144,5,52,33,5/2/2022 11:35:10 AM
145,1,87,57,5/2/2022 11:35:10 AM
146,1,58,22,5/2/2022 11:35:10 AM
147,1,53,86,5/2/2022 11:35:10 AM
148,5,66,11,5/2/2022 11:35:10 AM
149,5,40,52,5/2/2022 11:35:10 AM
150,1,32,68,5/2/2022 11:35:10 AM
151,5,15,99,5/2/2022 11:35:10 AM
152,2,55,14,5/2/2022 11:35:10 AM
153,3,8,86,5/2/2022 11:35:10 AM
154,3,95,37,5/2/2022 11:35:10 AM
155,3,35,76,5/2/2022 11:35:10 AM
156,1,85,79,5/2/2022 11:35:10 AM
157,4,89,60,5/2/2022 11:35:10 AM
158,3,58,84,5/2/2022 11:35:10 AM
159,4,100,16,5/2/2022 11:35:10 AM
160,5,25,4,5/2/2022 11:35:10 AM
161,1,74,64,5/2/2022 11:35:10 AM
162,5,33,44,5/2/2022 11:35:10 AM
163,4,7,36,5/2/2022 11:35:10 AM
164,4,98,14,5/2/2022 11:35:10 AM
165,5,25,73,5/2/2022 11:35:10 AM
166,3,60,80,5/2/2022 11:35:10 AM
167,3,96,84,5/2/2022 11:35:10 AM
168,4,38,20,5/2/2022 11:35:10 AM
169,2,33,15,5/2/2022 11:35:10 AM
170,5,25,14,5/2/2022 11:35:10 AM
171,2,87,55,5/2/2022 11:35:10 AM
172,1,12,38,5/2/2022 11:35:10 AM
173,4,80,60,5/2/2022 11:35:10 AM
174,4,23,83,5/2/2022 11:35:10 AM
175,2,60,42,5/2/2022 11:35:10 AM
176,1,95,34,5/2/2022 11:35:10 AM
177,5,70,82,5/2/2022 11:35:10 AM
178,2,20,85,5/2/2022 11:35:10 AM
179,2,71,71,5/2/2022 11:35:10 AM
180,2,91,81,5/2/2022 11:35:10 AM
