1,3,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
2,29,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
3,88,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
4,94,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
5,66,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
6,44,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
7,36,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
8,43,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
9,85,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
10,2,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
11,49,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
12,94,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
13,83,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
14,4,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
15,62,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
16,12,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
17,45,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
18,7,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
19,82,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
20,84,5/2/2022 11:35:10 AM,5/2/2022 11:35:10 AM
